Ticker;Company Name;Beyond;News;Dnews;Date of annoucement ;recources;D1;D2;D3;D5;D10;D20;Beta;M1;M2;M3;M5;M10;M20
SITM;SiTime;NA;NA;NA;12/09/2023;;0,009693785;-0,007716465;0,030563342;-0,00624025;-0,012537425;-0,005907906;2,5186;-0,005485561;0,001165945;0,008622427;0,000586418;0,004205195;0,006402198
MAC;Macerich;NA;NA;NA;11/09/2023;;0,005106383;0,00592718;-0,014309764;0,006584362;-0,012216405;0,00190295;1,4493;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
VSCO;Victoria's Secret;NA;NA;NA;11/07/2023;;0,024962556;-0,025328787;-0,04047976;-0,008799172;-0,01073071;-0,046545811;1,5686;0,006368558;0,008045925;0,007936864;0,003472222;0,004467248;0,008728542
DEI;Douglas Emmett;NA;NA;NA;11/09/2023;;-0,013828239;-0,009594096;-0,035767511;0,009723261;0,003977725;-0,022969647;1,0332;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
VRRM;Verra Mobility;NA;NA;NA;20/09/2023;;-0,009989485;-0,001593202;-0,002659574;-0,017979905;-0,01005291;0,019548872;0,8797;-0,009193377;-0,01652836;-0,002248545;-0,014691252;-0,013386066;-4,58674E-05
OTTR;Otter Tail Corporation;NA;NA;NA;11/09/2023;;-0,004494976;0,009428951;-0,000920931;-0,004690554;-0,002721617;0,002293269;0,5919;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
CRK;Comstock Resources;NA;NA;NA;08/09/2023;;0,018992568;-0,044570502;0,033927057;-0,006617039;-0,016901408;0,051356589;1,2441;0,001506126;0,006576585;-0,005485561;0,008622427;-0,01652836;-0,000376772
NOG;Northern Oil and Gas;NA;NA;NA;19/09/2023;;-0,013089652;-0,01976977;-0,011743681;0,020287622;-0,040019886;0,004687886;1,1276;-0,0020738;-0,009193377;-0,01652836;0,004205195;-0,000397679;0,010521437
DV;DoubleVerify;NA;NA;NA;20/09/2023;;-0,012609457;-0,026605179;0,00728863;-0,004718693;-0,017934003;0,018708083;1,4851;-0,009193377;-0,01652836;-0,002248545;-0,014691252;-0,013386066;-4,58674E-05
RXO;RXO;NA;NA;NA;18/09/2023;;0,018062397;-0,010215054;-0,000543183;0,010497238;-0,014977534;-0,029350105;1,0566;0,000586418;-0,0020738;-0,009193377;-0,002248545;-0,002426958;-0,004980861
MBC;MasterBrand;NA;NA;NA;18/09/2023;;0,023275145;0,003249391;-0,008906883;-0,02173913;0,009136213;-0,019163763;1,0788;0,000586418;-0,0020738;-0,009193377;-0,002248545;-0,002426958;-0,004980861
SMTC;Semtech;NA;NA;NA;25/07/2023;;0,013415518;0,004293381;-0,013893837;0,024921025;-0,001091703;0,025900445;1,4583;0,002730075;0,000153698;-0,006629931;0,001904053;0,008728542;0,0065063
CWK;Cushman & Wakefield;NA;NA;NA;08/09/2023;;0,019406393;-0,006718925;-0,016910936;0,011056511;-0,082089552;0,030927835;1,3066;0,001506126;0,006576585;-0,005485561;0,008622427;-0,01652836;-0,000376772
SJW;SJW Group;NA;NA;NA;11/09/2023;;0,006366385;0,003004903;0,015452539;-0,005671367;-0,008161306;0,010542169;0,4027;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
AGTI;Agiliti;NA;NA;NA;19/09/2023;;-0,049071618;-0,022315202;-0,035663338;-0,013043478;-0,033898305;0,012939002;1,059;-0,0020738;-0,009193377;-0,01652836;0,004205195;-0,000397679;0,010521437
SABR;Sabre Corporation;NA;NA;NA;13/09/2023;;-0,035940803;0,043859649;-0,029411765;-0,013363029;-0,024553571;0,034031414;1,8957;0,001165945;0,008622427;-0,015520917;-0,0020738;-0,014691252;0,005204839
NUS;Nu Skin Enterprises;NA;NA;NA;12/09/2023;;-0,010860122;0,016688625;0,034557235;-0,014160766;-0,021907216;-0,005157298;0,9301;-0,005485561;0,001165945;0,008622427;0,000586418;0,004205195;0,006402198
BFH;Bread Financial;NA;NA;NA;08/09/2023;;-0,007728402;-0,000278164;-0,004730106;0,008299943;-0,010080645;-0,056158264;1,5575;0,001506126;0,006576585;-0,005485561;0,008622427;-0,01652836;-0,000376772
HAIN;Hain Celestial Group;NA;NA;NA;20/03/2023;;0,002985075;-0,020238095;-0,018833536;0,028002489;0,032510536;-0,010433828;0,9403;0,009615631;0,013130492;-0,017046452;0,006562047;0,014094625;0,003588227
